Date,Time,TempC,Depthm
7/20/10,18:00:00,10.063,0.318
7/20/10,18:15:00,10.259,0.317
7/20/10,18:30:00,10.259,0.317
7/20/10,18:45:00,10.357,0.319
7/20/10,19:00:00,10.357,0.318
7/20/10,19:15:00,10.259,0.318
7/20/10,19:30:00,10.259,0.32
7/20/10,19:45:00,10.063,0.32
7/20/10,20:00:00,9.965,0.322
7/20/10,20:15:00,9.866,0.321
7/20/10,20:30:00,9.768,0.32
7/20/10,20:45:00,9.669,0.32
7/20/10,21:00:00,9.571,0.322
7/20/10,21:15:00,9.472,0.322
7/20/10,21:30:00,9.472,0.32
7/20/10,21:45:00,9.373,0.321
7/20/10,22:00:00,9.275,0.319
7/20/10,22:15:00,9.275,0.32
7/20/10,22:30:00,9.176,0.319
7/20/10,22:45:00,9.176,0.321
7/20/10,23:00:00,9.077,0.321
7/20/10,23:15:00,9.077,0.32
7/20/10,23:30:00,8.978,0.32
7/20/10,23:45:00,8.978,0.321
7/21/10,00:00:00,8.879,0.321
7/21/10,00:15:00,8.779,0.321
7/21/10,00:30:00,8.779,0.319
7/21/10,00:45:00,8.68,0.318
7/21/10,01:00:00,8.481,0.318
7/21/10,01:15:00,8.382,0.319
7/21/10,01:30:00,8.282,0.32
7/21/10,01:45:00,8.182,0.319
7/21/10,02:00:00,8.082,0.318
7/21/10,02:15:00,7.983,0.316
7/21/10,02:30:00,7.983,0.317
7/21/10,02:45:00,7.882,0.315
7/21/10,03:00:00,7.882,0.316
7/21/10,03:15:00,7.782,0.317
7/21/10,03:30:00,7.782,0.314
7/21/10,03:45:00,7.682,0.316
7/21/10,04:00:00,7.682,0.315
7/21/10,04:15:00,7.682,0.315
7/21/10,04:30:00,7.582,0.316
7/21/10,04:45:00,7.582,0.317
7/21/10,05:00:00,7.582,0.316
7/21/10,05:15:00,7.582,0.316
7/21/10,05:30:00,7.582,0.315
7/21/10,05:45:00,7.582,0.316
7/21/10,06:00:00,7.582,0.315
7/21/10,06:15:00,7.582,0.316
7/21/10,06:30:00,7.481,0.314
7/21/10,06:45:00,7.582,0.317
7/21/10,07:00:00,7.582,0.317
7/21/10,07:15:00,7.582,0.314
7/21/10,07:30:00,7.582,0.317
7/21/10,07:45:00,7.682,0.317
7/21/10,08:00:00,7.782,0.315
7/21/10,08:15:00,7.882,0.315
7/21/10,08:30:00,8.082,0.312
7/21/10,08:45:00,8.282,0.311
7/21/10,09:00:00,8.481,0.311
7/21/10,09:15:00,8.779,0.313
7/21/10,09:30:00,8.978,0.314
7/21/10,09:45:00,9.275,0.313
7/21/10,10:00:00,9.571,0.315
7/21/10,10:15:00,9.866,0.312
7/21/10,10:30:00,10.161,0.314
7/21/10,10:45:00,10.455,0.313
7/21/10,11:00:00,10.748,0.314
7/21/10,11:15:00,11.139,0.313
7/21/10,11:30:00,11.431,0.314
7/21/10,11:45:00,11.722,0.314
7/21/10,12:00:00,12.013,0.313
7/21/10,12:15:00,12.304,0.313
7/21/10,12:30:00,12.594,0.312
7/21/10,12:45:00,12.883,0.311
7/21/10,13:00:00,13.173,0.314
7/21/10,13:15:00,13.365,0.315
7/21/10,13:30:00,13.654,0.315
7/21/10,13:45:00,13.942,0.314
7/21/10,14:00:00,14.134,0.313
7/21/10,14:15:00,14.325,0.313
7/21/10,14:30:00,14.23,0.316
7/21/10,14:45:00,14.613,0.312
7/21/10,15:00:00,14.709,0.317
7/21/10,15:15:00,14.709,0.313
7/21/10,15:30:00,14.804,0.317
7/21/10,15:45:00,14.9,0.313
7/21/10,16:00:00,14.996,0.316
7/21/10,16:15:00,14.9,0.315
7/21/10,16:30:00,14.9,0.316
7/21/10,16:45:00,14.804,0.315
7/21/10,17:00:00,14.709,0.315
7/21/10,17:15:00,14.421,0.317
7/21/10,17:30:00,14.134,0.315
7/21/10,17:45:00,13.942,0.314
7/21/10,18:00:00,13.75,0.313
7/21/10,18:15:00,13.558,0.316
